Districts,Depth of Drilling (in metres),AQ 1 (in metres),Yield(in lps),Drilling Method
  Nilgiri ,99.1 ,60.1,10,Direct Push Drilling
  Nilgiri ,99.1 ,93.1,10,Direct Push Drilling
  Nilgiri ,99.1 ,98.6,10,Direct Push Drilling
Raj Berhampur–1,172.3,37,6,Cable tool Drilling
Raj Berhampur–1,172.3,40,6,Cable tool Drilling
Raj Berhampur–1,172.3,45,6,Cable tool Drilling
Saladhara–1 ,73.4 ,17,6,Direct Push Drilling
Saladhara–1 ,73.4 ,23,6,Direct Push Drilling
Saladhara –2,101.2,35,11,Cable tool Drilling
Saladhara –2,101.2,44,11,Cable tool Drilling
Saladhara –2,101.2,92,11,Cable tool Drilling
Saladhara –2,101.2,101,11,Cable tool Drilling
Sajnagarh ,91,58,11,Direct Push Drilling
Sajnagarh ,91,66,11,Direct Push Drilling
Sajnagarh ,91,81,11,Direct Push Drilling
Sajnagarh ,91,90,11,Direct Push Drilling
Podasul,56.4,54.6,18,Direct Push Drilling
Podasul,56.4,55.4,18,Direct Push Drilling
Kalakad ,50.3,24,19,Direct Push Drilling
Bhalukposi,86.9,36.1,14,Direct Push Drilling
Bhalukposi,86.9,42.1,14,Direct Push Drilling
Bhalukposi  OW,86.9,12.7,14,Direct Push Drilling
Bhalukposi  OW,86.9,35.1,14,Direct Push Drilling
Bhalukposi  OW,86.9,39.2,14,Direct Push Drilling
Bhalukposi  OW,86.9,52.4,14,Direct Push Drilling
Sankaliapada,95.1,85.9,7,Direct Push Drilling
Sankaliapada,95.1,90,7,Direct Push Drilling
Baunspal,74.7,57,7.5,Direct Push Drilling
Baunspal,74.7,74,7.5,Direct Push Drilling
Nilgiri (Rathadanda),161.2,96,0,Cable tool Drilling
Gopinathpur,105.2,99,0.5,Cable tool Drilling
Bagmara,79.8,71.2,3.5,Direct Push Drilling
  Arbandh ,50.3,28.1,28.1,Direct Push Drilling
  Arbandh ,50.3,32.1,28.1,Direct Push Drilling
  Arbandh ,50.3,39.2,28.1,Direct Push Drilling
  Arbandh ,50.3,43.2,28.1,Direct Push Drilling
Arbandh ,102.2,25.9,28.1,Cable tool Drilling
Arbandh ,102.2,29,28.1,Cable tool Drilling
Arbandh ,102.2,32,28.1,Cable tool Drilling
Arbandh ,102.2,35.1,28.1,Cable tool Drilling
Arbandh ,102.2,37.1,28.1,Cable tool Drilling
Arbandh ,102.2,46.3,28.1,Cable tool Drilling
Begunia,89,15.8,12,Direct Push Drilling
Begunia,89,51.3,12,Direct Push Drilling
Begunia,89,64.6,12,Direct Push Drilling
Begunia,89,70.7,12,Direct Push Drilling
Begunia,89,86.9,12,Direct Push Drilling
Begunia,68.6,25.9,15,Direct Push Drilling
Begunia,68.6,34.1,15,Direct Push Drilling
Begunia,68.6,38.1,15,Direct Push Drilling
Begunia,68.6,49.3,15,Direct Push Drilling
Begunia,68.6,64.6,15,Direct Push Drilling
Chandipur,136.8,26.9,3,Cable tool Drilling
Chandipur,136.8,77.8,3,Cable tool Drilling
  Jagannathpur,66.6,38.1,20,Direct Push Drilling
  Jagannathpur,66.6,43.2,20,Direct Push Drilling
  Jagannathpur,66.6,46.3,20,Direct Push Drilling
  Jagannathpur,66.6,51.4,20,Direct Push Drilling
  Jagannathpur,66.6,56.4,20,Direct Push Drilling
  Jagannathpur,66.6,64.6,20,Direct Push Drilling
Khumtan,99.1,26,12,Direct Push Drilling
Khumtan,99.1,85.9,12,Direct Push Drilling
Telipal,105,46.4,10,Cable tool Drilling
Telipal,105,60.8,10,Cable tool Drilling
Telipal,105,63.9,10,Cable tool Drilling
Telipal,105,68.9,10,Cable tool Drilling
Telipal,105,77.1,10,Cable tool Drilling
Telipal,105,80.1,10,Cable tool Drilling
 Upardiha  150,150,57.8,0.5,Cable tool Drilling
Betei,154,30,2,Cable tool Drilling
Betei,154,90,2,Cable tool Drilling
Betei,154,117,2,Cable tool Drilling
  Bankisahi ,105.2,41.2,5,Cable tool Drilling
  Bankisahi ,105.2,47.3,5,Cable tool Drilling
  Bankisahi ,105.2,58.5,5,Cable tool Drilling
  Bankisahi ,105.2,81.9,5,Cable tool Drilling
Jambani ,82.9,24.9,6.5,Direct Push Drilling
Jambani ,82.9,74.7,6.5,Direct Push Drilling
Jambani ,80.8,9.7,9,Direct Push Drilling
Jambani ,80.8,73.7,9,Direct Push Drilling
Raipal,56.4,9.3,4.55,Direct Push Drilling
Raipal,56.4,27,4.55,Direct Push Drilling
Raipal,56.4,34.1,4.55,Direct Push Drilling
Rigidi,185,28.4,0.5,Cable tool Drilling
Karanjasol e,600,24,61.6,Direct Push Drilling and Cable tool Drilling
Karanjasol e,600,105,61.6,Direct Push Drilling and Cable tool Drilling
Karanjasol e,600,140.5,61.6,Direct Push Drilling and Cable tool Drilling
Karanjasol e,600,148.5,61.6,Direct Push Drilling and Cable tool Drilling
Karanjasol e,600,156,61.6,Direct Push Drilling and Cable tool Drilling
Karanjasol e,600,267.5,61.6,Direct Push Drilling and Cable tool Drilling
Karanjasol e,600,287,61.6,Direct Push Drilling and Cable tool Drilling
Karanjasol e,600,305.5,61.6,Direct Push Drilling and Cable tool Drilling
Baliapal,307,35,65.2,Direct Push Drilling
Baliapal,307,46,65.2,Direct Push Drilling
Baliapal,307,55,65.2,Direct Push Drilling
Baliapal,307,63,65.2,Direct Push Drilling
Baliapal,307,71.5,65.2,Direct Push Drilling
Baliapal,307,118.5,65.2,Direct Push Drilling
Baliapal,307,147.5,65.2,Direct Push Drilling
